id,is_iceberg
5941774d,1
4023181e,1
b20200e4,1
e7f018bb,1
4371c8c3,1
a8d9b1fd,1
29e7727e,1
92a51ffb,1
c769ac97,1
aee0547d,1
565b28ac,1
e04e9775,1
8e8161d1,1
4cf4d256,1
139e5324,1
f156976f,1
68a117cc,1
d9aa7a56,1
9005b143,1
5f6d3988,1
9ad70954,1
b9087b9e,1
a39a1427,1
82fbe8ed,1
1fae4879,1
6dd8f13d,1
bbad5958,1
54527583,1
be8fa29c,1
81a3328f,1
1a3c0ab3,1
4deeeb8b,1
ac6d5632,1
472dadb5,1
96093f95,1
f5b4e3df,1
e01a3c92,1
001680af,1
8e639f33,1
a2c16612,1
a6d76474,1
19c47684,1
015827b6,1
7df7f7ce,1
0bbf1a3f,1
636cfbb7,1
7370030a,1
43aa97ad,1
ba2b5e63,1
dfdd335b,1
e79b13dc,1
dc32b195,1
6d868590,1
75fa59aa,1
ffe50836,1
a7bfd784,1
b3d569e3,1
6c538c5b,1
5c7c15f4,1
0b745139,1
fd14608e,1
f0bc8305,1
a10ccb28,1
543304c7,1
6c3a4078,1
9b73cc75,1
5c6c71b1,1
09ee9186,1
207c35cf,1
153c813e,1
5605d58b,1
642ca396,1
d32d72c0,1
16646a17,1
384074af,1
69bf1e8c,1
9e90a054,1
89dbe7f7,1
dbd27d22,1
a2ea1561,1
d63402af,1
1ac8bb92,1
8beffca5,1
46741f3e,1
e5ee6aa7,1
5ecd892b,1
69892166,1
2f725a81,1
810abfe4,1
e6f973e6,1
c60a5c46,1
c42b9e08,1
c3f00c23,1
5307fdb8,1
3e4f005e,1
4a4cc2e0,1
9bdd88d1,1
0d832bed,1
14a134fa,1
78a41676,1
